LOGOTIME,trap-xcor,trap-ycor
2010-01-01 12:00:13.023,-1,-4
2010-01-01 12:00:13.036,-9,-4
2010-01-01 12:00:13.040,-6,-9
2010-01-01 12:00:13.059,-10,-2
2010-01-01 12:00:13.077,-13,10
2010-01-01 12:00:13.091,15,-11
2010-01-01 12:00:13.101,-16,3
2010-01-01 12:00:13.103,-13,12
2010-01-01 12:00:13.108,-11,9
2010-01-01 12:00:13.110,-2,-13
2010-01-01 12:00:13.112,-3,-12
2010-01-01 12:00:13.123,-7,-2
2010-01-01 12:00:13.125,-15,8
2010-01-01 12:00:13.140,-3,-14
2010-01-01 12:00:13.149,12,10
2010-01-01 12:00:13.171,6,-10
2010-01-01 12:00:13.175,-10,14
2010-01-01 12:00:13.191,-11,3
2010-01-01 12:00:13.251,-13,5
2010-01-01 12:00:13.264,-4,8
2010-01-01 12:00:13.273,12,-16
2010-01-01 12:00:13.310,-13,-4
2010-01-01 12:00:13.331,-6,12
2010-01-01 12:00:13.335,-6,9
2010-01-01 12:00:13.344,-10,-3
2010-01-01 12:00:13.346,-7,6
2010-01-01 12:00:13.357,-12,4
2010-01-01 12:00:13.367,10,-8
2010-01-01 12:00:13.415,-15,-5
2010-01-01 12:00:13.434,-14,0
2010-01-01 12:00:13.444,-6,-6
2010-01-01 12:00:13.447,-11,-2
2010-01-01 12:00:13.450,-7,-10
2010-01-01 12:00:13.469,-10,3
2010-01-01 12:00:13.470,-6,11
2010-01-01 12:00:13.471,-9,5
2010-01-01 12:00:13.472,6,-6
2010-01-01 12:00:13.486,-9,10
2010-01-01 12:00:13.525,-9,12
2010-01-01 12:00:13.541,-8,10
2010-01-01 12:00:13.545,12,6
2010-01-01 12:00:13.551,-9,15
2010-01-01 12:00:13.553,9,15
2010-01-01 12:00:13.557,8,-8
2010-01-01 12:00:13.578,4,-15
2010-01-01 12:00:13.579,-1,-16
2010-01-01 12:00:13.613,-2,8
2010-01-01 12:00:13.614,-14,5
2010-01-01 12:00:13.633,-7,-15
2010-01-01 12:00:13.633,7,-10
2010-01-01 12:00:13.641,-2,-6
2010-01-01 12:00:13.655,-14,11
2010-01-01 12:00:13.672,11,-7
2010-01-01 12:00:13.689,2,-6
2010-01-01 12:00:13.705,-7,-5
2010-01-01 12:00:13.745,-14,15
2010-01-01 12:00:13.754,-13,-14
2010-01-01 12:00:13.755,-11,-3
2010-01-01 12:00:13.757,16,-14
2010-01-01 12:00:13.758,3,-13
2010-01-01 12:00:13.762,-14,7
2010-01-01 12:00:13.771,3,-8
2010-01-01 12:00:13.786,-8,1
2010-01-01 12:00:13.788,-16,10
2010-01-01 12:00:13.813,-13,3
